domain,mcp_server_url,auth
checkin.no,https://mcp.checkin.no/mcp,oauth
chipp.ai,https://mcp.chipp.ai/mcp,oauth
chisellabs.com,https://mcp.chisellabs.com/mcp,oauth
chowdeck.com,https://mcp.chowdeck.com/mcp,oauth
chzbrgr.io,https://mcp.chzbrgr.io/mcp,oauth
civils.ai,https://mcp.civils.ai/mcp,oauth
clappia.com,https://mcp.clappia.com/mcp,oauth
clarity.ai,https://mcp.clarity.ai/mcp,oauth
classdojo.com,https://mcp.classdojo.com/mcp,oauth
classe365.com,https://mcp.classe365.com/mcp,oauth
clazar.io,https://mcp.clazar.io/mcp,oauth
clbk.app,https://mcp.clbk.app/mcp,oauth
cleartrip.com,https://mcp.cleartrip.com/mcp,oauth
cleo.com,https://mcp.cleo.com/mcp,oauth
clickup-qa.com,https://mcp.clickup-qa.com/mcp,oauth
clickup-stg.com,https://mcp.clickup-stg.com/mcp,oauth
clickup.com,https://mcp.clickup.com/mcp,oauth
climbfinder.com,https://mcp.climbfinder.com/mcp,oauth
clootrack.com,https://mcp.clootrack.com/mcp,oauth
close.com,https://mcp.close.com/mcp,oauth
cloudflare-internal.com,https://mcp.cloudflare-internal.com/mcp,oauth
cloudflare.com,https://mcp.cloudflare.com/mcp,oauth
cloudlift.app,https://mcp.cloudlift.app/mcp,oauth
cloudways.com,https://mcp.cloudways.com/mcp,oauth
clubright.co.uk,https://mcp.clubright.co.uk/mcp,oauth
coastapp.com,https://mcp.coastapp.com/mcp,oauth
cognitoforms.com,https://mcp.cognitoforms.com/mcp,oauth
coindesk.com,https://mcp.coindesk.com/mcp,oauth
coinpoker.ai,https://mcp.coinpoker.ai/mcp,oauth
coinstats.app,https://mcp.coinstats.app/mcp,oauth
collabis.ru,https://mcp.collabis.ru/mcp,oauth
commonroom.io,https://mcp.commonroom.io/mcp,oauth
competitor.com,https://mcp.competitor.com/mcp,oauth
compliancehcm.com.br,https://mcp.compliancehcm.com.br/mcp,oauth
comscore.com,https://mcp.comscore.com/mcp,oauth
conceptualcms.com,https://mcp.conceptualcms.com/mcp,oauth
concord.app,https://mcp.concord.app/mcp,oauth
conperience.net,https://mcp.conperience.net/mcp,oauth
consensus.app,https://mcp.consensus.app/mcp,oauth
contasimples.com,https://mcp.contasimples.com/mcp,oauth
contentful.com,https://mcp.contentful.com/mcp,oauth
context7.com,https://mcp.context7.com/mcp,oauth
conversion.ai,https://mcp.conversion.ai/mcp,oauth
convex.dev,https://mcp.convex.dev/mcp,oauth
conveyor.com,https://mcp.conveyor.com/mcp,oauth
conviva.com,https://mcp.conviva.com/mcp,oauth
copilot.money,https://mcp.copilot.money/mcp,oauth
coreit.se,https://mcp.coreit.se/mcp,oauth
coros.com,https://mcp.coros.com/mcp,oauth
cospirit.com,https://mcp.cospirit.com/mcp,oauth
cotality.com,https://mcp.cotality.com/mcp,oauth
coupler.io,https://mcp.coupler.io/mcp,oauth
couriermanager.eu,https://mcp.couriermanager.eu/mcp,oauth
coverr.co,https://mcp.coverr.co/mcp,oauth
creativeforce.io,https://mcp.creativeforce.io/mcp,oauth
criteo.com,https://mcp.criteo.com/mcp,oauth
crol.mx,https://mcp.crol.mx/mcp,oauth
crunchbase.com,https://mcp.crunchbase.com/mcp,oauth
crustdata.com,https://mcp.crustdata.com/mcp,oauth
cryptact.com,https://mcp.cryptact.com/mcp,oauth
cryptoquant.com,https://mcp.cryptoquant.com/mcp,oauth
cuballama.com,https://mcp.cuballama.com/mcp,oauth
cuemath.com,https://mcp.cuemath.com/mcp,oauth
curate.co,https://mcp.curate.co/mcp,oauth
curri.com,https://mcp.curri.com/mcp,oauth
customer.io,https://mcp.customer.io/mcp,oauth
cuure.com,https://mcp.cuure.com/mcp,oauth
cypress.io,https://mcp.cypress.io/mcp,oauth
daloopa.com,https://mcp.daloopa.com/mcp,oauth
dana.id,https://mcp.dana.id/mcp,oauth
danelfin.com,https://mcp.danelfin.com/mcp,oauth
dartai.com,https://mcp.dartai.com/mcp,oauth
databox.com,https://mcp.databox.com/mcp,oauth
datadome.co,https://mcp.datadome.co/mcp,oauth
dataforseo.com,https://mcp.dataforseo.com/mcp,oauth
datahub.com,https://mcp.datahub.com/mcp,oauth
datarails.com,https://mcp.datarails.com/mcp,oauth
ddns.net,https://mcp.ddns.net/mcp,oauth
dealmachine.com,https://mcp.dealmachine.com/mcp,oauth
dealroom.co,https://mcp.dealroom.co/mcp,oauth
dealroom.io,https://mcp.dealroom.io/mcp,oauth
